Date,Open,High,Low,Close,Adj Close,Volume
2023-02-21,60.540001,61.279999,59.650002,59.820000,59.646751,11314600
2023-02-22,59.240002,59.889999,57.959999,58.419998,58.250801,17198700
2023-02-23,59.549999,59.869999,58.549999,59.220001,59.048489,12734600
2023-02-24,58.750000,59.270000,58.009998,58.980000,58.809181,13116300
2023-02-27,59.270000,59.650002,58.369999,58.959999,58.789238,17984600
2023-02-28,59.730000,60.560001,58.500000,58.560001,58.390400,34364400
2023-03-01,58.509998,60.090000,58.400002,59.709999,59.537067,14414200
2023-03-02,59.400002,60.540001,59.250000,60.270000,60.095448,13858700
2023-03-03,59.480000,61.700001,59.310001,61.250000,61.072609,17088900
2023-03-06,61.060001,61.970001,60.849998,61.680000,61.501362,12890800
2023-03-07,61.320000,61.650002,60.500000,60.849998,60.673767,12547300
2023-03-08,62.000000,63.580002,61.049999,62.150002,61.970005,22947000
2023-03-09,62.189999,63.200001,60.369999,60.560001,60.560001,13331000
2023-03-10,60.330002,61.070000,59.430000,59.860001,59.860001,14715800
2023-03-13,58.360001,60.150002,57.279999,59.150002,59.150002,19574500
2023-03-14,59.450001,61.630001,59.009998,60.189999,60.189999,16825700
2023-03-15,58.150002,58.349998,55.509998,56.799999,56.799999,30722100
2023-03-16,56.599998,59.080002,55.919998,59.040001,59.040001,22719100
2023-03-17,58.980000,59.509998,57.910000,58.480000,58.480000,21005700
2023-03-20,58.509998,59.529999,58.230000,58.980000,58.980000,14579700
2023-03-21,59.930000,60.750000,59.500000,60.240002,60.240002,16959100
2023-03-22,60.290001,60.419998,58.610001,58.680000,58.680000,13936200
2023-03-23,59.049999,59.560001,57.689999,58.480000,58.480000,15059300
2023-03-24,57.880001,58.599998,57.029999,58.180000,58.180000,13598000
2023-03-27,58.700001,59.860001,58.029999,59.650002,59.650002,14419700
2023-03-28,60.650002,62.349998,60.560001,62.209999,62.209999,21795500
2023-03-29,62.689999,62.939999,61.700001,62.090000,62.090000,13107100
2023-03-30,62.740002,62.830002,61.709999,62.320000,62.320000,8311700
2023-03-31,62.389999,62.980000,62.160000,62.430000,62.430000,9618800
2023-04-03,65.739998,66.470001,64.690002,65.180000,65.180000,24486500
2023-04-04,65.830002,65.879997,63.910000,64.830002,64.830002,16176400
2023-04-05,64.370003,65.180000,63.590000,64.570000,64.570000,12056100
2023-04-06,64.050003,64.139999,62.970001,63.040001,63.040001,10480900
2023-04-10,63.200001,64.470001,63.169998,64.089996,64.089996,11531400
2023-04-11,64.389999,64.889999,63.910000,64.370003,64.370003,8979000
2023-04-12,64.800003,65.209999,64.250000,64.839996,64.839996,9185400
2023-04-13,64.750000,65.180000,64.519997,64.769997,64.769997,7697000
2023-04-14,64.739998,64.989998,64.040001,64.480003,64.480003,6763400
2023-04-17,64.379997,64.410004,62.849998,62.939999,62.939999,8514700
2023-04-18,62.779999,63.160000,62.250000,63.000000,63.000000,7936600
2023-04-19,62.000000,62.599998,61.389999,62.470001,62.470001,7742200
2023-04-20,61.549999,62.270000,61.500000,62.029999,62.029999,7769000
2023-04-21,62.150002,62.430000,61.439999,61.869999,61.869999,7825200
2023-04-24,61.869999,63.070000,61.770000,62.759998,62.759998,7560200
2023-04-25,61.869999,62.020000,60.619999,61.330002,61.330002,9709700
2023-04-26,61.320000,61.340000,59.919998,60.259998,60.259998,8470900
2023-04-27,60.299999,60.820000,59.970001,60.580002,60.580002,8172100
2023-04-28,60.700001,62.169998,60.349998,61.529999,61.529999,9716500
2023-05-01,60.980000,61.880001,60.759998,61.169998,61.169998,7337700
2023-05-02,60.549999,60.549999,59.080002,60.040001,60.040001,12442900
2023-05-03,59.250000,60.099998,58.939999,58.970001,58.970001,11639200
2023-05-04,59.040001,59.840000,58.279999,58.700001,58.700001,11202000
